item_id,store_id,dept_id,demand_band,forecast_origin,target_date,horizon_day,forecast
FOODS_2_218,CA_1,FOODS_2,low,2016-05-22,2016-05-23,1,0.8928571428571429
FOODS_2_251,CA_1,FOODS_2,medium,2016-05-22,2016-05-23,1,0.6071428571428571
FOODS_2_301,CA_1,FOODS_2,low,2016-05-22,2016-05-23,1,0.9642857142857143
FOODS_2_302,CA_1,FOODS_2,medium,2016-05-22,2016-05-23,1,1.2857142857142858
FOODS_2_304,CA_1,FOODS_2,medium,2016-05-22,2016-05-23,1,2.2857142857142856
FOODS_2_322,CA_1,FOODS_2,high,2016-05-22,2016-05-23,1,0.6428571428571429
FOODS_2_336,CA_1,FOODS_2,low,2016-05-22,2016-05-23,1,0.42857142857142855
FOODS_2_339,CA_1,FOODS_2,medium,2016-05-22,2016-05-23,1,0.7857142857142857
FOODS_2_357,CA_1,FOODS_2,high,2016-05-22,2016-05-23,1,2.8214285714285716
FOODS_2_360,CA_1,FOODS_2,high,2016-05-22,2016-05-23,1,11.75
FOODS_2_367,CA_1,FOODS_2,medium,2016-05-22,2016-05-23,1,0.6428571428571429
FOODS_3_026,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,2.0714285714285716
FOODS_3_048,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,1.6428571428571428
FOODS_3_053,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,3.4285714285714284
FOODS_3_068,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.6785714285714286
FOODS_3_074,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,1.9285714285714286
FOODS_3_089,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,1.1428571428571428
FOODS_3_096,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,1.1428571428571428
FOODS_3_099,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,14.642857142857142
FOODS_3_113,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,4.142857142857143
FOODS_3_123,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,1.6785714285714286
FOODS_3_135,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,5.75
FOODS_3_179,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.75
FOODS_3_187,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,1.3928571428571428
FOODS_3_223,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,1.1428571428571428
FOODS_3_240,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.7142857142857143
FOODS_3_249,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,3.8214285714285716
FOODS_3_263,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,8.642857142857142
FOODS_3_276,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,0.0
FOODS_3_312,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,1.25
FOODS_3_319,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,0.0
FOODS_3_321,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,5.071428571428571
FOODS_3_327,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,2.8214285714285716
FOODS_3_329,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,17.071428571428573
FOODS_3_340,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.5714285714285714
FOODS_3_354,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.42857142857142855
FOODS_3_360,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,0.21428571428571427
FOODS_3_383,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,3.9642857142857144
FOODS_3_387,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,1.9642857142857142
FOODS_3_432,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,0.5
FOODS_3_467,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,1.0
FOODS_3_470,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,0.7142857142857143
FOODS_3_479,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,0.6785714285714286
FOODS_3_480,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,1.3214285714285714
FOODS_3_482,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,2.357142857142857
FOODS_3_501,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,22.928571428571427
FOODS_3_511,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,25.535714285714285
FOODS_3_520,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,0.7142857142857143
FOODS_3_532,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,1.7142857142857142
FOODS_3_539,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.6785714285714286
FOODS_3_550,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.35714285714285715
FOODS_3_558,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.4642857142857143
FOODS_3_601,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.17857142857142858
FOODS_3_611,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,1.2857142857142858
FOODS_3_616,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,0.9642857142857143
FOODS_3_635,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,0.0
FOODS_3_640,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,2.4285714285714284
FOODS_3_641,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,2.7142857142857144
FOODS_3_648,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,0.5714285714285714
FOODS_3_658,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.8214285714285714
FOODS_3_661,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,3.9285714285714284
FOODS_3_666,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,1.1428571428571428
FOODS_3_677,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.6785714285714286
FOODS_3_709,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.7857142857142857
FOODS_3_724,CA_1,FOODS_3,low,2016-05-22,2016-05-23,1,0.32142857142857145
FOODS_3_795,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,3.25
FOODS_3_801,CA_1,FOODS_3,high,2016-05-22,2016-05-23,1,1.6785714285714286
FOODS_3_817,CA_1,FOODS_3,medium,2016-05-22,2016-05-23,1,0.75
FOODS_1_017,TX_2,FOODS_1,low,2016-05-22,2016-05-23,1,0.42857142857142855
FOODS_1_020,TX_2,FOODS_1,medium,2016-05-22,2016-05-23,1,0.8571428571428571
FOODS_1_042,TX_2,FOODS_1,high,2016-05-22,2016-05-23,1,5.321428571428571
FOODS_1_082,TX_2,FOODS_1,high,2016-05-22,2016-05-23,1,1.8928571428571428
FOODS_1_086,TX_2,FOODS_1,high,2016-05-22,2016-05-23,1,0.32142857142857145
FOODS_1_089,TX_2,FOODS_1,low,2016-05-22,2016-05-23,1,0.32142857142857145
FOODS_1_099,TX_2,FOODS_1,high,2016-05-22,2016-05-23,1,7.214285714285714
FOODS_1_112,TX_2,FOODS_1,medium,2016-05-22,2016-05-23,1,0.7142857142857143
FOODS_1_135,TX_2,FOODS_1,low,2016-05-22,2016-05-23,1,0.2857142857142857
FOODS_1_155,TX_2,FOODS_1,medium,2016-05-22,2016-05-23,1,1.4642857142857142
FOODS_1_156,TX_2,FOODS_1,low,2016-05-22,2016-05-23,1,0.42857142857142855
FOODS_1_172,TX_2,FOODS_1,high,2016-05-22,2016-05-23,1,2.9285714285714284
FOODS_1_175,TX_2,FOODS_1,medium,2016-05-22,2016-05-23,1,0.5357142857142857
FOODS_1_210,TX_2,FOODS_1,medium,2016-05-22,2016-05-23,1,5.107142857142857
FOODS_1_214,TX_2,FOODS_1,low,2016-05-22,2016-05-23,1,0.32142857142857145
FOODS_2_021,TX_2,FOODS_2,high,2016-05-22,2016-05-23,1,1.3214285714285714
FOODS_2_024,TX_2,FOODS_2,medium,2016-05-22,2016-05-23,1,0.2857142857142857
FOODS_2_028,TX_2,FOODS_2,low,2016-05-22,2016-05-23,1,0.9285714285714286
FOODS_2_040,TX_2,FOODS_2,low,2016-05-22,2016-05-23,1,0.17857142857142858
FOODS_2_059,TX_2,FOODS_2,high,2016-05-22,2016-05-23,1,1.7857142857142858
FOODS_2_072,TX_2,FOODS_2,medium,2016-05-22,2016-05-23,1,0.4642857142857143
FOODS_2_095,TX_2,FOODS_2,low,2016-05-22,2016-05-23,1,0.5714285714285714
FOODS_2_116,TX_2,FOODS_2,high,2016-05-22,2016-05-23,1,0.7142857142857143
FOODS_2_136,TX_2,FOODS_2,medium,2016-05-22,2016-05-23,1,0.4642857142857143
FOODS_2_139,TX_2,FOODS_2,high,2016-05-22,2016-05-23,1,1.4285714285714286
FOODS_2_146,TX_2,FOODS_2,medium,2016-05-22,2016-05-23,1,0.8214285714285714
FOODS_2_150,TX_2,FOODS_2,high,2016-05-22,2016-05-23,1,1.1071428571428572
FOODS_2_170,TX_2,FOODS_2,medium,2016-05-22,2016-05-23,1,1.7142857142857142
FOODS_2_178,TX_2,FOODS_2,low,2016-05-22,2016-05-23,1,0.5357142857142857
FOODS_2_180,TX_2,FOODS_2,low,2016-05-22,2016-05-23,1,2.0714285714285716
FOODS_2_184,TX_2,FOODS_2,high,2016-05-22,2016-05-23,1,2.4642857142857144
FOODS_2_209,TX_2,FOODS_2,low,2016-05-22,2016-05-23,1,0.0
FOODS_2_218,TX_2,FOODS_2,low,2016-05-22,2016-05-23,1,0.03571428571428571
FOODS_2_251,TX_2,FOODS_2,medium,2016-05-22,2016-05-23,1,1.7857142857142858
FOODS_2_301,TX_2,FOODS_2,low,2016-05-22,2016-05-23,1,1.1071428571428572
FOODS_2_302,TX_2,FOODS_2,medium,2016-05-22,2016-05-23,1,1.1428571428571428
FOODS_2_304,TX_2,FOODS_2,medium,2016-05-22,2016-05-23,1,1.75
FOODS_2_322,TX_2,FOODS_2,high,2016-05-22,2016-05-23,1,3.107142857142857
FOODS_2_336,TX_2,FOODS_2,low,2016-05-22,2016-05-23,1,0.32142857142857145
FOODS_2_339,TX_2,FOODS_2,medium,2016-05-22,2016-05-23,1,0.5357142857142857
FOODS_2_357,TX_2,FOODS_2,high,2016-05-22,2016-05-23,1,2.107142857142857
FOODS_2_360,TX_2,FOODS_2,high,2016-05-22,2016-05-23,1,10.392857142857142
FOODS_2_367,TX_2,FOODS_2,medium,2016-05-22,2016-05-23,1,0.0
FOODS_3_026,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,1.8214285714285714
FOODS_3_048,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,2.642857142857143
FOODS_3_053,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,1.0
FOODS_3_068,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.6071428571428571
FOODS_3_074,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,1.4642857142857142
FOODS_3_089,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,0.8928571428571429
FOODS_3_096,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,0.75
FOODS_3_099,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,17.035714285714285
FOODS_3_113,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,0.4642857142857143
FOODS_3_123,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.39285714285714285
FOODS_3_135,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,13.75
FOODS_3_179,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.2857142857142857
FOODS_3_187,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,1.1785714285714286
FOODS_3_223,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.39285714285714285
FOODS_3_240,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.17857142857142858
FOODS_3_249,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,1.8571428571428572
FOODS_3_263,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,14.25
FOODS_3_276,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,0.0
FOODS_3_312,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.8214285714285714
FOODS_3_319,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,0.0
FOODS_3_321,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,8.964285714285714
FOODS_3_327,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,3.892857142857143
FOODS_3_329,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,16.642857142857142
FOODS_3_340,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.5714285714285714
FOODS_3_354,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.5714285714285714
FOODS_3_360,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,0.39285714285714285
FOODS_3_383,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,2.357142857142857
FOODS_3_387,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,0.9642857142857143
FOODS_3_432,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,1.9285714285714286
FOODS_3_467,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,0.75
FOODS_3_470,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,0.75
FOODS_3_479,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,1.1071428571428572
FOODS_3_480,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,0.8928571428571429
FOODS_3_482,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,1.0
FOODS_3_501,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,12.857142857142858
FOODS_3_511,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,9.964285714285714
FOODS_3_520,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,1.0714285714285714
FOODS_3_532,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,2.2142857142857144
FOODS_3_539,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.5
FOODS_3_550,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.5714285714285714
FOODS_3_558,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.25
FOODS_3_601,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.17857142857142858
FOODS_3_611,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,2.1785714285714284
FOODS_3_616,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,1.8214285714285714
FOODS_3_635,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,0.0
FOODS_3_640,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,1.0
FOODS_3_641,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.42857142857142855
FOODS_3_648,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,1.4285714285714286
FOODS_3_658,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.42857142857142855
FOODS_3_661,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,4.285714285714286
FOODS_3_666,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,0.9642857142857143
FOODS_3_677,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.9285714285714286
FOODS_3_709,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,1.25
FOODS_3_724,TX_2,FOODS_3,low,2016-05-22,2016-05-23,1,0.42857142857142855
FOODS_3_795,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,2.2142857142857144
FOODS_3_801,TX_2,FOODS_3,high,2016-05-22,2016-05-23,1,2.0714285714285716
FOODS_3_817,TX_2,FOODS_3,medium,2016-05-22,2016-05-23,1,0.5
FOODS_1_017,WI_3,FOODS_1,low,2016-05-22,2016-05-23,1,0.9642857142857143
FOODS_1_020,WI_3,FOODS_1,medium,2016-05-22,2016-05-23,1,1.1785714285714286
FOODS_1_042,WI_3,FOODS_1,high,2016-05-22,2016-05-23,1,1.7857142857142858
FOODS_1_082,WI_3,FOODS_1,high,2016-05-22,2016-05-23,1,9.285714285714286
FOODS_1_086,WI_3,FOODS_1,high,2016-05-22,2016-05-23,1,1.8214285714285714
FOODS_1_089,WI_3,FOODS_1,low,2016-05-22,2016-05-23,1,0.25
FOODS_1_099,WI_3,FOODS_1,high,2016-05-22,2016-05-23,1,2.607142857142857
FOODS_1_112,WI_3,FOODS_1,medium,2016-05-22,2016-05-23,1,0.42857142857142855
FOODS_1_135,WI_3,FOODS_1,low,2016-05-22,2016-05-23,1,0.42857142857142855
FOODS_1_155,WI_3,FOODS_1,medium,2016-05-22,2016-05-23,1,1.0357142857142858
FOODS_1_156,WI_3,FOODS_1,low,2016-05-22,2016-05-23,1,0.5
FOODS_1_172,WI_3,FOODS_1,high,2016-05-22,2016-05-23,1,2.607142857142857
FOODS_1_175,WI_3,FOODS_1,medium,2016-05-22,2016-05-23,1,0.35714285714285715
FOODS_1_210,WI_3,FOODS_1,medium,2016-05-22,2016-05-23,1,2.4285714285714284
FOODS_1_214,WI_3,FOODS_1,low,2016-05-22,2016-05-23,1,0.4642857142857143
FOODS_2_021,WI_3,FOODS_2,high,2016-05-22,2016-05-23,1,6.035714285714286
FOODS_2_024,WI_3,FOODS_2,medium,2016-05-22,2016-05-23,1,0.5
FOODS_2_028,WI_3,FOODS_2,low,2016-05-22,2016-05-23,1,0.6785714285714286
FOODS_2_040,WI_3,FOODS_2,low,2016-05-22,2016-05-23,1,0.7857142857142857
FOODS_2_059,WI_3,FOODS_2,high,2016-05-22,2016-05-23,1,2.607142857142857
FOODS_2_072,WI_3,FOODS_2,medium,2016-05-22,2016-05-23,1,1.25
FOODS_2_095,WI_3,FOODS_2,low,2016-05-22,2016-05-23,1,1.3571428571428572
FOODS_2_116,WI_3,FOODS_2,high,2016-05-22,2016-05-23,1,0.9642857142857143
FOODS_2_136,WI_3,FOODS_2,medium,2016-05-22,2016-05-23,1,2.607142857142857
FOODS_2_139,WI_3,FOODS_2,high,2016-05-22,2016-05-23,1,1.1071428571428572
FOODS_2_146,WI_3,FOODS_2,medium,2016-05-22,2016-05-23,1,0.8571428571428571
FOODS_2_150,WI_3,FOODS_2,high,2016-05-22,2016-05-23,1,1.3214285714285714
FOODS_2_170,WI_3,FOODS_2,medium,2016-05-22,2016-05-23,1,1.3928571428571428
FOODS_2_178,WI_3,FOODS_2,low,2016-05-22,2016-05-23,1,0.9285714285714286
FOODS_2_180,WI_3,FOODS_2,low,2016-05-22,2016-05-23,1,0.9285714285714286
FOODS_2_184,WI_3,FOODS_2,high,2016-05-22,2016-05-23,1,0.7142857142857143
FOODS_2_209,WI_3,FOODS_2,low,2016-05-22,2016-05-23,1,0.9642857142857143
FOODS_2_218,WI_3,FOODS_2,low,2016-05-22,2016-05-23,1,0.32142857142857145
FOODS_2_251,WI_3,FOODS_2,medium,2016-05-22,2016-05-23,1,2.0714285714285716
FOODS_2_301,WI_3,FOODS_2,low,2016-05-22,2016-05-23,1,1.0357142857142858
FOODS_2_302,WI_3,FOODS_2,medium,2016-05-22,2016-05-23,1,1.6071428571428572
FOODS_2_304,WI_3,FOODS_2,medium,2016-05-22,2016-05-23,1,1.5
FOODS_2_322,WI_3,FOODS_2,high,2016-05-22,2016-05-23,1,4.607142857142857
FOODS_2_336,WI_3,FOODS_2,low,2016-05-22,2016-05-23,1,0.7857142857142857
FOODS_2_339,WI_3,FOODS_2,medium,2016-05-22,2016-05-23,1,2.2142857142857144
FOODS_2_357,WI_3,FOODS_2,high,2016-05-22,2016-05-23,1,4.357142857142857
FOODS_2_360,WI_3,FOODS_2,high,2016-05-22,2016-05-23,1,16.785714285714285
FOODS_2_367,WI_3,FOODS_2,medium,2016-05-22,2016-05-23,1,0.4642857142857143
FOODS_3_026,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,1.75
FOODS_3_048,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,3.857142857142857
FOODS_3_053,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,0.5357142857142857
FOODS_3_068,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.2857142857142857
FOODS_3_074,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,0.7857142857142857
FOODS_3_089,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,1.8571428571428572
FOODS_3_096,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,0.5357142857142857
FOODS_3_099,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,9.821428571428571
FOODS_3_113,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,3.4642857142857144
FOODS_3_123,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.5
FOODS_3_135,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,7.142857142857143
FOODS_3_179,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.21428571428571427
FOODS_3_187,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,1.6785714285714286
FOODS_3_223,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,1.0
FOODS_3_240,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.5714285714285714
FOODS_3_249,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,1.0357142857142858
FOODS_3_263,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,11.178571428571429
FOODS_3_276,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,0.0
FOODS_3_312,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.6071428571428571
FOODS_3_319,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,0.0
FOODS_3_321,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,5.071428571428571
FOODS_3_327,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,1.7857142857142858
FOODS_3_329,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,17.535714285714285
FOODS_3_340,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.6785714285714286
FOODS_3_354,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.7142857142857143
FOODS_3_360,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,0.39285714285714285
FOODS_3_383,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,1.6071428571428572
FOODS_3_387,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,1.1785714285714286
FOODS_3_432,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,0.9285714285714286
FOODS_3_467,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,1.1428571428571428
FOODS_3_470,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,0.9285714285714286
FOODS_3_479,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,1.2142857142857142
FOODS_3_480,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,0.5714285714285714
FOODS_3_482,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.39285714285714285
FOODS_3_501,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,8.714285714285714
FOODS_3_511,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,8.142857142857142
FOODS_3_520,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,0.6071428571428571
FOODS_3_532,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,2.3214285714285716
FOODS_3_539,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.32142857142857145
FOODS_3_550,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.35714285714285715
FOODS_3_558,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.2857142857142857
FOODS_3_601,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.39285714285714285
FOODS_3_611,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,0.7857142857142857
FOODS_3_616,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,0.75
FOODS_3_635,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,0.0
FOODS_3_640,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,1.1785714285714286
FOODS_3_641,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.6071428571428571
FOODS_3_648,WI_3,FOODS_3,medium,2016-05-22,2016-05-23,1,1.3928571428571428
FOODS_3_658,WI_3,FOODS_3,low,2016-05-22,2016-05-23,1,0.2857142857142857
FOODS_3_661,WI_3,FOODS_3,high,2016-05-22,2016-05-23,1,3.107142857142857
