item_id,store_id,dept_id,demand_band,on_hand,on_order,backorders,lead_time_days,service_level,holding_cost_per_unit_per_day,stockout_cost_per_unit,fixed_order_cost,inventory_source,synthetic_profile_plan
FOODS_3_312,CA_1,FOODS_3,low,20,6,0,7,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_319,CA_1,FOODS_3,high,21,5,2,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_321,CA_1,FOODS_3,high,150,37,0,7,0.99,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_327,CA_1,FOODS_3,high,20,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_329,CA_1,FOODS_3,high,228,0,0,10,0.975,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_340,CA_1,FOODS_3,low,18,0,0,10,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_354,CA_1,FOODS_3,low,3,0,0,3,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_360,CA_1,FOODS_3,medium,2,1,0,5,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_383,CA_1,FOODS_3,high,50,7,0,5,0.9,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_387,CA_1,FOODS_3,medium,14,2,0,5,0.95,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_432,CA_1,FOODS_3,high,27,1,0,7,0.99,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_467,CA_1,FOODS_3,medium,10,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_470,CA_1,FOODS_3,medium,20,5,0,3,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_479,CA_1,FOODS_3,medium,8,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_480,CA_1,FOODS_3,medium,9,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_482,CA_1,FOODS_3,low,31,5,0,5,0.9,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_501,CA_1,FOODS_3,high,424,124,0,10,0.99,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_511,CA_1,FOODS_3,high,55,5,0,3,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_520,CA_1,FOODS_3,medium,40,1,0,14,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_532,CA_1,FOODS_3,medium,3,0,0,3,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_539,CA_1,FOODS_3,low,11,0,0,10,0.9,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_550,CA_1,FOODS_3,low,9,2,0,14,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_558,CA_1,FOODS_3,low,22,5,0,14,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_601,CA_1,FOODS_3,low,5,0,0,10,0.95,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_611,CA_1,FOODS_3,high,46,9,0,10,0.99,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_616,CA_1,FOODS_3,medium,9,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_635,CA_1,FOODS_3,high,0,0,0,10,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_640,CA_1,FOODS_3,low,21,4,0,5,0.975,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_641,CA_1,FOODS_3,low,47,5,0,7,0.99,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_648,CA_1,FOODS_3,medium,16,2,1,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_658,CA_1,FOODS_3,low,4,1,0,10,0.99,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_661,CA_1,FOODS_3,high,76,7,0,7,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_666,CA_1,FOODS_3,medium,13,2,0,7,0.975,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_677,CA_1,FOODS_3,low,2,0,0,7,0.9,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_709,CA_1,FOODS_3,low,0,0,1,7,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_3_724,CA_1,FOODS_3,low,0,0,0,5,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_795,CA_1,FOODS_3,medium,97,23,0,7,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_801,CA_1,FOODS_3,high,18,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_817,CA_1,FOODS_3,medium,2,0,0,5,0.99,0.02,5.0,25.0,synthetic_demo,critical
FOODS_1_017,TX_2,FOODS_1,low,4,1,0,7,0.99,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_020,TX_2,FOODS_1,medium,5,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_042,TX_2,FOODS_1,high,146,13,2,7,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_1_082,TX_2,FOODS_1,high,42,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_086,TX_2,FOODS_1,high,4,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_089,TX_2,FOODS_1,low,5,0,0,7,0.9,0.02,5.0,25.0,synthetic_demo,low
FOODS_1_099,TX_2,FOODS_1,high,117,14,0,14,0.9,0.02,5.0,25.0,synthetic_demo,low
FOODS_1_112,TX_2,FOODS_1,medium,17,5,0,14,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_135,TX_2,FOODS_1,low,0,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_1_155,TX_2,FOODS_1,medium,23,4,0,7,0.99,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_156,TX_2,FOODS_1,low,13,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_1_172,TX_2,FOODS_1,high,62,9,0,10,0.99,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_175,TX_2,FOODS_1,medium,13,4,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_210,TX_2,FOODS_1,medium,108,3,0,10,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_214,TX_2,FOODS_1,low,8,1,0,7,0.9,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_021,TX_2,FOODS_2,high,0,0,1,7,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_2_024,TX_2,FOODS_2,medium,14,2,1,7,0.975,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_028,TX_2,FOODS_2,low,7,2,0,7,0.99,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_040,TX_2,FOODS_2,low,3,0,0,5,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_059,TX_2,FOODS_2,high,17,4,0,7,0.9,0.02,5.0,25.0,synthetic_demo,low
FOODS_2_072,TX_2,FOODS_2,medium,1,0,0,10,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_2_095,TX_2,FOODS_2,low,0,0,2,5,0.9,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_2_116,TX_2,FOODS_2,high,4,1,0,7,0.9,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_136,TX_2,FOODS_2,medium,4,0,2,3,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_139,TX_2,FOODS_2,high,27,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_146,TX_2,FOODS_2,medium,13,1,0,3,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_150,TX_2,FOODS_2,high,13,4,0,14,0.975,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_170,TX_2,FOODS_2,medium,25,1,0,5,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_178,TX_2,FOODS_2,low,14,1,0,14,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_180,TX_2,FOODS_2,low,41,9,0,10,0.9,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_184,TX_2,FOODS_2,high,40,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_209,TX_2,FOODS_2,low,0,0,0,10,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_218,TX_2,FOODS_2,low,2,0,0,10,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_251,TX_2,FOODS_2,medium,10,4,0,14,0.9,0.02,5.0,25.0,synthetic_demo,critical
FOODS_2_301,TX_2,FOODS_2,low,0,0,3,7,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_2_302,TX_2,FOODS_2,medium,20,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_304,TX_2,FOODS_2,medium,18,5,0,3,0.9,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_322,TX_2,FOODS_2,high,14,3,0,7,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_2_336,TX_2,FOODS_2,low,10,1,0,5,0.975,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_339,TX_2,FOODS_2,medium,17,4,0,7,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_357,TX_2,FOODS_2,high,0,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_2_360,TX_2,FOODS_2,high,100,17,2,7,0.975,0.02,5.0,25.0,synthetic_demo,low
FOODS_2_367,TX_2,FOODS_2,medium,0,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_026,TX_2,FOODS_3,high,10,2,0,10,0.975,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_048,TX_2,FOODS_3,medium,46,7,0,10,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_053,TX_2,FOODS_3,medium,7,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_068,TX_2,FOODS_3,low,8,0,1,7,0.95,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_074,TX_2,FOODS_3,medium,54,10,0,14,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_089,TX_2,FOODS_3,high,5,1,0,5,0.975,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_096,TX_2,FOODS_3,medium,5,0,0,5,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_099,TX_2,FOODS_3,high,51,3,0,3,0.9,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_113,TX_2,FOODS_3,high,35,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_123,TX_2,FOODS_3,low,8,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_135,TX_2,FOODS_3,high,105,9,0,10,0.975,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_179,TX_2,FOODS_3,low,6,0,0,7,0.99,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_187,TX_2,FOODS_3,medium,12,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_223,TX_2,FOODS_3,low,7,0,0,10,0.95,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_240,TX_2,FOODS_3,low,10,0,0,10,0.9,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_249,TX_2,FOODS_3,medium,29,5,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_263,TX_2,FOODS_3,high,87,20,0,7,0.99,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_276,TX_2,FOODS_3,high,11,3,0,7,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_312,TX_2,FOODS_3,low,4,0,0,5,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_319,TX_2,FOODS_3,high,17,4,0,5,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_321,TX_2,FOODS_3,high,363,52,0,14,0.99,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_327,TX_2,FOODS_3,high,31,3,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_329,TX_2,FOODS_3,high,247,8,0,7,0.9,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_340,TX_2,FOODS_3,low,13,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_354,TX_2,FOODS_3,low,0,0,0,7,0.9,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_360,TX_2,FOODS_3,medium,13,2,0,14,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_383,TX_2,FOODS_3,high,13,1,0,10,0.9,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_387,TX_2,FOODS_3,medium,15,3,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_432,TX_2,FOODS_3,high,15,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_467,TX_2,FOODS_3,medium,5,1,0,14,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_470,TX_2,FOODS_3,medium,0,0,2,7,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_3_479,TX_2,FOODS_3,medium,14,2,0,14,0.99,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_480,TX_2,FOODS_3,medium,21,5,0,5,0.975,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_482,TX_2,FOODS_3,low,9,3,0,10,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_501,TX_2,FOODS_3,high,123,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_511,TX_2,FOODS_3,high,241,72,0,5,0.975,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_520,TX_2,FOODS_3,medium,25,0,1,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_532,TX_2,FOODS_3,medium,20,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_539,TX_2,FOODS_3,low,14,2,0,3,0.99,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_3_550,TX_2,FOODS_3,low,10,1,2,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_558,TX_2,FOODS_3,low,3,0,0,10,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_601,TX_2,FOODS_3,low,3,1,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_611,TX_2,FOODS_3,high,8,3,0,7,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_3_616,TX_2,FOODS_3,medium,37,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_635,TX_2,FOODS_3,high,23,7,0,7,0.95,0.02,5.0,25.0,synthetic_demo,low
FOODS_3_640,TX_2,FOODS_3,low,0,0,3,14,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_3_641,TX_2,FOODS_3,low,9,2,0,10,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_648,TX_2,FOODS_3,medium,21,7,0,5,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_658,TX_2,FOODS_3,low,0,0,2,14,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_3_661,TX_2,FOODS_3,high,44,5,0,10,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_3_666,TX_2,FOODS_3,medium,13,4,0,7,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_677,TX_2,FOODS_3,low,17,5,0,10,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_709,TX_2,FOODS_3,low,16,2,0,5,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_724,TX_2,FOODS_3,low,11,2,0,14,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_795,TX_2,FOODS_3,medium,41,0,0,7,0.99,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_801,TX_2,FOODS_3,high,36,2,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_3_817,TX_2,FOODS_3,medium,12,1,0,3,0.975,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_1_017,WI_3,FOODS_1,low,31,4,0,10,0.99,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_1_020,WI_3,FOODS_1,medium,20,0,0,3,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_042,WI_3,FOODS_1,high,57,11,0,5,0.95,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_1_082,WI_3,FOODS_1,high,55,0,0,5,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_086,WI_3,FOODS_1,high,11,4,0,10,0.9,0.02,5.0,25.0,synthetic_demo,critical
FOODS_1_089,WI_3,FOODS_1,low,2,0,0,5,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_099,WI_3,FOODS_1,high,130,39,2,14,0.99,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_1_112,WI_3,FOODS_1,medium,9,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_135,WI_3,FOODS_1,low,6,1,0,3,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_1_155,WI_3,FOODS_1,medium,5,1,0,3,0.9,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_156,WI_3,FOODS_1,low,4,0,1,3,0.99,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_172,WI_3,FOODS_1,high,9,3,0,7,0.9,0.02,5.0,25.0,synthetic_demo,critical
FOODS_1_175,WI_3,FOODS_1,medium,3,1,0,10,0.9,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_210,WI_3,FOODS_1,medium,12,3,0,5,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_1_214,WI_3,FOODS_1,low,11,3,0,10,0.9,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_021,WI_3,FOODS_2,high,0,0,3,3,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_2_024,WI_3,FOODS_2,medium,12,4,0,10,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_028,WI_3,FOODS_2,low,24,3,0,14,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_040,WI_3,FOODS_2,low,8,1,0,10,0.9,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_059,WI_3,FOODS_2,high,39,9,2,7,0.9,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_072,WI_3,FOODS_2,medium,15,4,0,10,0.95,0.02,5.0,25.0,synthetic_demo,low
FOODS_2_095,WI_3,FOODS_2,low,7,0,1,3,0.9,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_116,WI_3,FOODS_2,high,13,1,0,5,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_136,WI_3,FOODS_2,medium,12,4,0,5,0.95,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_139,WI_3,FOODS_2,high,21,0,1,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_146,WI_3,FOODS_2,medium,0,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,stockout
FOODS_2_150,WI_3,FOODS_2,high,10,3,0,7,0.95,0.02,5.0,25.0,synthetic_demo,low
FOODS_2_170,WI_3,FOODS_2,medium,16,1,0,10,0.9,0.02,5.0,25.0,synthetic_demo,reorder
FOODS_2_178,WI_3,FOODS_2,low,13,4,0,5,0.9,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_180,WI_3,FOODS_2,low,24,1,0,7,0.975,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_184,WI_3,FOODS_2,high,16,5,0,5,0.9,0.02,5.0,25.0,synthetic_demo,overstock
FOODS_2_209,WI_3,FOODS_2,low,16,3,0,7,0.95,0.02,5.0,25.0,synthetic_demo,healthy
FOODS_2_218,WI_3,FOODS_2,low,1,0,0,7,0.95,0.02,5.0,25.0,synthetic_demo,critical
FOODS_2_251,WI_3,FOODS_2,medium,116,7,0,14,0.95,0.02,5.0,25.0,synthetic_demo,overstock
